Model,Task ID,Split,Overall,Stored Overall,Overall Delta,FLAE,Read.,Insh.,Stru.,TRACE,Vef.,Con.,Cov.,Fid.,MOSAIC,Sem.,Acc.,VQA,Complete,Report Path,Report SHA256,MOSAIC Summary Path,MOSAIC Summary SHA256
Gemini 3.1 Flash Lite,Q0,Research,36.4165,36.416,0.0005,69.326,63.817843,91.392635,58.5,16.5864,0.0,19.111111,40.0,0.0,47.527,38.266986,,38.266986,True,reports/Q0.md,82b98bc7c17bc35aa4602887e58b0fb589aab3d6695c8322b38e8cc4adc11a78,reports/mm/Q0/mm_router_routed/final_summary.json,4ee75a19eb1dc5c70099529a844e618d3fd54016cd30f08cdc97178333cbd326
Gemini 3.1 Flash Lite,Q1,Research,61.0712,61.071,0.0002,67.218,69.538392,81.715647,58.5,54.805,100.0,12.6,40.0,0.0,67.417,61.667162,,61.667162,True,reports/Q1.md,2bef4e4bdd580dd44e60772bc1bbe2d6b3f393aac6aad9a5459971e2c33219b4,reports/mm/Q1/mm_router_routed/final_summary.json,f8668de126d89f9c6ad10db90ee65a994615cd7aaad53a6099b94c928fd96023
Gemini 3.1 Flash Lite,Q2,Research,30.3706,30.371,-0.0004,51.853,77.712638,56.287241,32.5,40.0,100.0,0.0,0.0,100.0,0.0,,,,True,reports/Q2.md,e98468a7c7a67292ad4cc19b6f889db44e92148c55251df5274855158b11ef54,,
Gemini 3.1 Flash Lite,Q3,Research,60.4529,60.453,-0.0001,59.634,57.420882,82.322255,52.0,49.8022,100.0,16.363636,0.0,0.0,78.75,74.999793,,74.999793,True,reports/Q3.md,80fccafc4320620714417113590c8de348846ef886bdabf9b07a8a790e80fefb,reports/mm/Q3/mm_router_routed/final_summary.json,fde3dbee636e935129e1454a8c8d53520bb75b08015e0d32608ba7a12345866f
Gemini 3.1 Flash Lite,Q4,Research,55.9761,55.976,0.0001,66.146,64.111664,97.656123,58.5,47.9806,100.0,8.4,0.0,0.0,62.522,57.564074,80.0,1.474259,True,reports/Q4.md,19ea17c4bd8634d99ce856ef69cdf36b0319d15e9dfc2bfdef810eed10847d3f,reports/mm/Q4/mm_router_routed/final_summary.json,5cd3cc975144fc855fde094d0ddc259c1ac393c15cee94e835d7bd90c5e6a09a
Gemini 3.1 Flash Lite,Q5,Research,52.9357,52.936,-0.0003,65.413,64.961572,94.406123,58.5,45.9562,100.0,9.5,0.0,0.0,56.25,49.999914,100.0,33.333218,True,reports/Q5.md,acbb6ef7da19046a307a2eb845ed5bdbda79110806efc2c0a510302146241fc8,reports/mm/Q5/mm_router_routed/final_summary.json,e71bcd0c37693d465c7daa3f886d37de5b8a4d191d94e006481002a66ebfa546
Gemini 3.1 Flash Lite,Q6,Research,59.9498,59.95,-0.0002,70.506,63.660241,94.406123,61.75,51.3334,100.0,14.75,16.666667,0.0,67.273,62.247767,100.0,56.854591,True,reports/Q6.md,af9755b32f2ad3accb4088ed213671ecee391e1814a12ad78db76f0a592984cc,reports/mm/Q6/mm_router_routed/final_summary.json,0c006024c60011410375986bd9deaadf9dd9e98eb8fc0ae55b97da0bbc0c82a7
Gemini 3.1 Flash Lite,Q8,Research,14.0022,14.002,0.0002,70.011,63.894895,89.405518,61.75,0.0,0.0,0.0,0.0,100.0,0.0,,,,True,reports/Q8.md,a4d617f67bb67e42dc908be466d29d80a9d28f06ba2d8b85b1945e4b4a08cc5f,,
Gemini 3.1 Flash Lite,Q7,Research,46.8063,46.806,0.0003,28.382,6.327589,91.636721,0.0,48.16,100.0,9.0,0.0,0.0,56.833,50.684669,100.0,34.246225,True,reports/Q7.md,a848fc1e9c4f27e9af984d1d7e8fd8a0009f7075d0c31d4d0e1514a20a5167f1,reports/mm/Q7/mm_router_routed/final_summary.json,cd6b6ed90b2f5399fac545e4671750d37fcee45d5d04088dd5aec3d1a928b91d
Gemini 3.1 Flash Lite,Q9,Research,45.5646,45.565,-0.0004,65.958,60.117584,97.072852,58.5,13.2696,0.0,33.6,0.0,24.770642,85.794,83.286848,100.0,79.944218,True,reports/Q9.md,7c1bdb5c38a3bc839d5a3769fad86a8e069a240ecfcae91c3b4ecadcb9a5b9d7,reports/mm/Q9/mm_router_routed/final_summary.json,f7e025cd833d39e81fdd979ecb29291b9acdef70a1cf6ac425c298623412535c
Gemini 3.1 Flash Lite,Q10,Research,57.9,57.9,0.0,57.338,66.820695,80.250628,45.5,46.3648,100.0,3.0,0.0,0.0,77.5,74.999773,100.0,33.332727,True,reports/Q10.md,7dc5dbde8ee126bb2d96a047e31b9a44c2596d4557d0ac5d7922398bd5d7553e,reports/mm/Q10/mm_router_routed/final_summary.json,65e9aa4ca27874f1545ac6f96a4d7e809387e3ac722af4a883e05a154eac481c
